LPP_PRS_IDE;LPP_RED_LIB;LPP_VAL_DTF;LPP_MAX_AGE;LPP_PRS_TYP;LPP_MED_IND;LPP_ARB_CHA;LPP_ARB_SC1;LPP_ARB_SC2;LPP_ARB_SC3;LPP_ARB_SC4;LPP_ARB_SC5;LPP_ARB_SC6;LPP_ARB_SC7;LPP_ARB_SC8;LPP_ARB_SC9;LPP_ARB_BAS;LPP_PRO_COD
2330428;AUDIOPROTHESE, < 20 ANS OU CECITE, GN RESOUND, VIENNATONE ALPP II;22SEP2004:00:00:00;0;A;N;2;3;6;1;0;0;0;0;0;0;216.000000;
2330470;AUDIOPROTHESE, < 20 ANS OU CECITE, ACOUREX, WIDEX L 8 S;22SEP2004:00:00:00;0;A;N;2;3;6;1;0;0;0;0;0;0;25.000000;
2330925;AUDIOPROTHESE, < 20 ANS OU CECITE, PHONAK, PHONAK INCA SC;22SEP2004:00:00:00;0;A;N;2;3;6;1;0;0;0;0;0;0;352.000000;
2330977;PROTHESE OSTEO-INTEGREE, COCHLEAR, BAHA BP110 POWER, PROCESSEUR.;10SEP2018:00:00:00;0;A;O;2;3;5;0;0;0;0;0;0;0;1.000000;
2331043;PROTHESE OSTEO-INTEGREE, COCHLEAR, BAHA, ENTRETIEN ET REPARATIONS, FORFAIT;;0;E;N;2;3;5;0;0;0;0;0;0;0;4.000000;
2331126;AUDIOPROTHESE, < 20 ANS OU CECITE, INTRASON, INTRASON 341 MULTI PRO;22SEP2004:00:00:00;0;A;N;2;3;6;1;0;0;0;0;0;0;227.000000;
2331391;AUDIOPROTHESE, < 20 ANS OU CECITE, BELTONE, PHILIPS S 71 P;22SEP2004:00:00:00;0;A;N;2;3;6;1;0;0;0;0;0;0;101.000000;
2331540;AUDIOPROTHESE, < 20 ANS OU CECITE, ACOUREX, WIDEX L 6;22SEP2004:00:00:00;0;A;N;2;3;6;1;0;0;0;0;0;0;23.000000;
2331557;AUDIOPROTHESE, < 20 ANS OU CECITE, PRODITION, OTICON 380 P;22SEP2004:00:00:00;0;A;N;2;3;6;1;0;0;0;0;0;0;398.000000;
2331913;AUDIOPROTHESE, < 20 ANS OU CECITE, ACOUREX, WIDEX C 8;22SEP2004:00:00:00;0;A;N;2;3;6;1;0;0;0;0;0;0;9.000000;
2332114;AUDIOPROTHESE, < 20 ANS OU CECITE, BELTONE, PHILIPS D 11-40;22SEP2004:00:00:00;0;A;N;2;3;6;1;0;0;0;0;0;0;126.000000;
2332137;AUDIOPROTHESE, < 20 ANS OU CECITE, BELTONE, PHILIPS M 21 P;22SEP2004:00:00:00;0;A;N;2;3;6;1;0;0;0;0;0;0;129.000000;
2332166;AUDIOPROTHESE, < 20 ANS OU CECITE, PHONAK, PHONAK 9000 AF-SC;22SEP2004:00:00:00;0;A;N;2;3;6;1;0;0;0;0;0;0;356.000000;
2332189;AUDIOPROTHESE, < 20 ANS OU CECITE, ISO-SONIC, INTERTON INTEGRA KD;22SEP2004:00:00:00;0;A;N;2;3;6;1;0;0;0;0;0;0;257.000000;
2332338;AUDIOPROTHESE, < 20 ANS OU CECITE, NEWSON, NEWSON ES 312;22SEP2004:00:00:00;0;A;N;2;3;6;1;0;0;0;0;0;0;300.000000;
2332730;AUDIOPROTHESE, < 20 ANS OU CECITE, SARFFA, UNITRON US 80 PPL;22SEP2004:00:00:00;0;A;N;2;3;6;1;0;0;0;0;0;0;425.000000;
2332775;AUDIOPROTHESE, < 20 ANS OU CECITE, INTRASON, INTRASON 531 DEQ II PRO/R;22SEP2004:00:00:00;0;A;N;2;3;6;1;0;0;0;0;0;0;232.000000;
2332806;AUDIOPROTHESE, < 20 ANS OU CECITE, BELTONE, BELTONE PRIMA 2000 KAMP P;22SEP2004:00:00:00;0;A;N;2;3;6;1;0;0;0;0;0;0;76.000000;
2332901;AUDIOPROTHESE, < 20 ANS OU CECITE, AUDIOMEDI, HANSATON DIAMANT 46 HPAGCL;22SEP2004:00:00:00;0;A;N;2;3;6;1;0;0;0;0;0;0;54.000000;
2332976;AIDE AUDITIVE, PILES SANS MERCURE 13-ORANGE OU EQUIVALENT (B/6);;0;A;N;2;3;10;0;0;0;0;0;0;0;3.000000;
2333770;AUDIOPROTHESE, < 20 ANS OU CECITE, INTRASON, INTRASON DEQ II PRO POWER;22SEP2004:00:00:00;0;A;N;2;3;6;1;0;0;0;0;0;0;247.000000;
2334410;AUDIOPROTHESE, < 20 ANS OU CECITE, GN RESOUND, RESOUND E A.4.;22SEP2004:00:00:00;0;A;N;2;3;6;1;0;0;0;0;0;0;192.000000;
2334604;AUDIOPROTHESE, < 20 ANS OU CECITE, ACOUREX, WIDEX L 6 E;22SEP2004:00:00:00;0;A;N;2;3;6;1;0;0;0;0;0;0;22.000000;
2334774;AUDIOPROTHESE, < 20 ANS OU CECITE, AUDIOMEDI, HANSATON JAZZ 800 2 C PROG;22SEP2004:00:00:00;0;A;N;2;3;6;1;0;0;0;0;0;0;64.000000;
2334998;AUDIOPROTHESE, < 20 ANS OU CECITE, GN RESOUND, RESOUND BT 2 T;22SEP2004:00:00:00;0;A;N;2;3;6;1;0;0;0;0;0;0;187.000000;
2335207;AUDIOPROTHESE, < 20 ANS OU CECITE, PRODITION, BERNAFON AUDIOFLEX 110;22SEP2004:00:00:00;0;A;N;2;3;6;1;0;0;0;0;0;0;368.000000;
2335213;AUDIOPROTHESE, < 20 ANS OU CECITE, GN RESOUND, VIENNATONE 135;22SEP2004:00:00:00;0;A;N;2;3;6;1;0;0;0;0;0;0;214.000000;
2335302;AUDIOPROTHESE, < 20 ANS OU CECITE, PRODITION, BERNAFON DUALINE;22SEP2004:00:00:00;0;A;N;2;3;6;1;0;0;0;0;0;0;381.000000;
2335673;AUDIOPROTHESE, < 20 ANS OU CECITE, PHONAK, PHONAK PICO FORTE C 2;22SEP2004:00:00:00;0;A;N;2;3;6;1;0;0;0;0;0;0;325.000000;
2335791;AUDIOPROTHESE, APPAREIL DE CLASSE D, > OU = 20 ANS;31DEC2018:00:00:00;0;A;N;2;3;1;0;0;0;0;0;0;0;4.000000;
2335970;AUDIOPROTHESE, ECOUTEUR, < 20 ANS OU CECITE, JOUVE, R.JOUVE, ADAPTON 3;22SEP2004:00:00:00;0;A;N;2;3;6;1;0;0;0;0;0;0;418.000000;
2336046;AUDIOPROTHESE, < 20 ANS OU CECITE, STARKEY, STARKEY A 13 GEMINI AV MM;22SEP2004:00:00:00;0;A;N;2;3;6;1;0;0;0;0;0;0;491.000000;
2336098;AUDIOPROTHESE, < 20 ANS OU CECITE, AUDIOMEDI, HANSATON 700 DIGITAL CIC;22SEP2004:00:00:00;0;A;N;2;3;6;1;0;0;0;0;0;0;70.000000;
2336129;AUDIOPROTHESE, < 20 ANS OU CECITE, PRODITION, OTICON DIGILIFE COM CIC;22SEP2004:00:00:00;0;A;N;2;3;6;1;0;0;0;0;0;0;406.000000;
2336141;AUDIOPROTHESE, < 20 ANS OU CECITE, INTRASON, INTRASON ALPHA'K;22SEP2004:00:00:00;0;A;N;2;3;6;1;0;0;0;0;0;0;238.000000;
2336260;AUDIOPROTHESE, < 20 ANS OU CECITE, PHONAK, PHONAK SUPER FRONT PPC 2;22SEP2004:00:00:00;0;A;N;2;3;6;1;0;0;0;0;0;0;344.000000;
2336342;AUDIOPROTHESE, < 20 ANS OU CECITE, ACOUREX, WIDEX SENSO P 7 X;22SEP2004:00:00:00;0;A;N;2;3;6;1;0;0;0;0;0;0;43.000000;
2336477;AUDIOPROTHESE, < 20 ANS OU CECITE, INTRASON, INTRASON 351 ALPHA'P;22SEP2004:00:00:00;0;A;N;2;3;6;1;0;0;0;0;0;0;230.000000;
2336483;AUDIOPROTHESE, < 20 ANS OU CECITE, ACOUREX, WIDEX A 12 +;22SEP2004:00:00:00;0;A;N;2;3;6;1;0;0;0;0;0;0;1.000000;
2336589;AUDIOPROTHESE, < 20 ANS OU CECITE, AUDIOMEDI, HANSATON DIXY 49 POWER;22SEP2004:00:00:00;0;A;N;2;3;6;1;0;0;0;0;0;0;48.000000;
2336810;AUDIOPROTHESE, < 20 ANS OU CECITE, BELTONE, BELTONE PRIMA 1000;22SEP2004:00:00:00;0;A;N;2;3;6;1;0;0;0;0;0;0;77.000000;
2336833;AUDIOPROTHESE, < 20 ANS OU CECITE, ISO-SONIC, SONIC INNOVATION QUANTUM PLUS;22SEP2004:00:00:00;0;A;N;2;3;6;1;0;0;0;0;0;0;274.000000;
2336862;AUDIOPROTHESE, < 20 ANS OU CECITE, STARKEY, STARKEY A 675 TSP;22SEP2004:00:00:00;0;A;N;2;3;6;1;0;0;0;0;0;0;483.000000;
2337034;AUDIOPROTHESE, < 20 ANS OU CECITE, SARFFA, UNITRON SOUND FX PRO V 2;22SEP2004:00:00:00;0;A;N;2;3;6;1;0;0;0;0;0;0;439.000000;
2337063;AUDIOPROTHESE, < 20 ANS OU CECITE, ISO-SONIC, INTERTON QUANTUM;22SEP2004:00:00:00;0;A;N;2;3;6;1;0;0;0;0;0;0;260.000000;
2337264;AUDIOPROTHESE, < 20 ANS OU CECITE, SARFFA, UNITRON US 80 S;22SEP2004:00:00:00;0;A;N;2;3;6;1;0;0;0;0;0;0;432.000000;
2337287;AUDIOPROTHESE, < 20 ANS OU CECITE, STARKEY, STARKEY L. A.;22SEP2004:00:00:00;0;A;N;2;3;6;1;0;0;0;0;0;0;496.000000;
2337293;AUDIOPROTHESE, < 20 ANS OU CECITE, BELTONE, BELTONE PRIMA 2000 CSP II-P;22SEP2004:00:00:00;0;A;N;2;3;6;1;0;0;0;0;0;0;75.000000;
2337749;AIDE AUDITIVE, CLASSE I, GAUCHE <= A 20 ANS;;0;A;N;2;3;8;0;0;0;0;0;0;0;2.000000;
2337809;AUDIOPROTHESE, < 20 ANS OU CECITE, ISO-SONIC, ISO-SONIC REFLEX 1;22SEP2004:00:00:00;0;A;N;2;3;6;1;0;0;0;0;0;0;268.000000;
2337815;AUDIOPROTHESE, < 20 ANS OU CECITE, PRODITION, OTICON MULTIFOCUS INTRA CONQUE;22SEP2004:00:00:00;0;A;N;2;3;6;1;0;0;0;0;0;0;409.000000;
2338022;PROTHESE OSTEO-INTEGREE, PRODITION, PONTO 3 POWER, PROCESSEUR.;;0;E;N;2;3;5;0;0;0;0;0;0;0;8.000000;
2338571;AUDIOPROTHESE, < 20 ANS OU CECITE, BELTONE, BELTONE OPTIMA DSA;22SEP2004:00:00:00;0;A;N;2;3;6;1;0;0;0;0;0;0;80.000000;
2338594;AUDIOPROTHESE, < 20 ANS OU CECITE, BELTONE, BELTONE OPTIMA IC;22SEP2004:00:00:00;0;A;N;2;3;6;1;0;0;0;0;0;0;79.000000;
2338648;AUDIOPROTHESE, < 20 ANS OU CECITE, INTRASON, INTRASON AGCO-D;22SEP2004:00:00:00;0;A;N;2;3;6;1;0;0;0;0;0;0;241.000000;
2338743;AUDIOPROTHESE, < 20 ANS OU CECITE, GN RESOUND, RESOUND IE 4;22SEP2004:00:00:00;0;A;N;2;3;6;1;0;0;0;0;0;0;191.000000;
2338944;AUDIOPROTHESE, < 20 ANS OU CECITE, PHONAK, PHONAK AUDINET CD;22SEP2004:00:00:00;0;A;N;2;3;6;1;0;0;0;0;0;0;305.000000;
2338973;AUDIOPROTHESE, EMBOUT SURMOULE, < 20 ANS OU CECITE, JOUVE, R.JOUVE, ADAPTON 3;22SEP2004:00:00:00;0;A;N;2;3;6;1;0;0;0;0;0;0;419.000000;
2339062;AUDIOPROTHESE, < 20 ANS OU CECITE, BELTONE, PHILIPS S 41-O;22SEP2004:00:00:00;0;A;N;2;3;6;1;0;0;0;0;0;0;112.000000;
2339346;AUDIOPROTHESE, < 20 ANS OU CECITE, INTRASON, INTRASON 131 PP;22SEP2004:00:00:00;0;A;N;2;3;6;1;0;0;0;0;0;0;228.000000;
2339398;AUDIOPROTHESE, < 20 ANS OU CECITE, NEWSON, NEWSON ES AGCI D;22SEP2004:00:00:00;0;A;N;2;3;6;1;0;0;0;0;0;0;298.000000;
2339412;PROTHESE OSTEO-INTEGREE, PRODITION, PONTO 3 SUPER POWER, PROCESSEUR;;0;E;N;2;3;5;0;0;0;0;0;0;0;9.000000;
2339719;AUDIOPROTHESE, < 20 ANS OU CECITE, BELTONE, BELTONE INVISA STD;22SEP2004:00:00:00;0;A;N;2;3;6;1;0;0;0;0;0;0;83.000000;
2339837;AUDIOPROTHESE, < 20 ANS OU CECITE, STARKEY, STARKEY PPS;22SEP2004:00:00:00;0;A;N;2;3;6;1;0;0;0;0;0;0;505.000000;
2339866;AUDIOPROTHESE, < 20 ANS OU CECITE, ACOUREX, WIDEX C 9 +;22SEP2004:00:00:00;0;A;N;2;3;6;1;0;0;0;0;0;0;12.000000;
2340119;AUDIOPROTHESE, ENTRETIEN & REPARATIONS, ALLOCATION FORFAITAIRE ANNUELLE;31DEC2018:00:00:00;0;E;N;2;3;3;0;0;0;0;0;0;0;1.000000;
2340208;PROTHESE OSTEO-INTEGREE, COCHLEAR, BAHA, PROCESSEUR;06NOV2018:00:00:00;0;A;O;2;3;5;0;0;0;0;0;0;0;3.000000;
2340438;AUDIOPROTHESE, < 20 ANS OU CECITE, GN RESOUND, VIENNATONE 132;22SEP2004:00:00:00;0;A;N;2;3;6;1;0;0;0;0;0;0;215.000000;
2340600;AUDIOPROTHESE, < 20 ANS OU CECITE, PHONAK, PHONAK POWER ZOOM P 4 AZ;22SEP2004:00:00:00;0;A;N;2;3;6;1;0;0;0;0;0;0;341.000000;
2340970;AUDIOPROTHESE, < 20 ANS OU CECITE, BELTONE, BELTONE PETITE+CSP II-P;22SEP2004:00:00:00;0;A;N;2;3;6;1;0;0;0;0;0;0;89.000000;
2341290;AUDIOPROTHESE, < 20 ANS OU CECITE, ISO-SONIC, INTERTON SUPRA MDD-SEQ;22SEP2004:00:00:00;0;A;N;2;3;6;1;0;0;0;0;0;0;255.000000;
2341389;AUDIOPROTHESE, < 20 ANS OU CECITE, AUDIOMEDI, HANSATON 925 DIGITAL MM;22SEP2004:00:00:00;0;A;N;2;3;6;1;0;0;0;0;0;0;73.000000;
2341395;AUDIOPROTHESE, < 20 ANS OU CECITE, PRODITION, OTICON PRIMO FOCUS;22SEP2004:00:00:00;0;A;N;2;3;6;1;0;0;0;0;0;0;413.000000;
2341449;AUDIOPROTHESE, BOITIER AVEC ACCESSOIRES, > OU = 20 ANS;31DEC2018:00:00:00;0;A;N;2;3;1;0;0;0;0;0;0;0;6.000000;
2341544;AUDIOPROTHESE, < 20 ANS OU CECITE, ISO-SONIC, ISO-SONIC REFLEX PRO;22SEP2004:00:00:00;0;A;N;2;3;6;1;0;0;0;0;0;0;270.000000;
2341550;AUDIOPROTHESE, < 20 ANS OU CECITE, ACOUREX, WIDEX A4;22SEP2004:00:00:00;0;A;N;2;3;6;1;0;0;0;0;0;0;5.000000;
2341662;AUDIOPROTHESE, < 20 ANS OU CECITE, AUDIOMEDI, HANSATON HA/49 2 CD;22SEP2004:00:00:00;0;A;N;2;3;6;1;0;0;0;0;0;0;61.000000;
2341840;AIDE AUDITIVE, CLASSE II, GAUCHE, > 20 ANS;;0;A;N;2;3;7;0;0;0;0;0;0;0;4.000000;
2342118;AUDIOPROTHESE, < 20 ANS OU CECITE, STARKEY, STARKEY B 13 PC;22SEP2004:00:00:00;0;A;N;2;3;6;1;0;0;0;0;0;0;485.000000;
2342160;AUDIOPROTHESE, < 20 ANS OU CECITE, BELTONE, PHILIPS D 61-10;22SEP2004:00:00:00;0;A;N;2;3;6;1;0;0;0;0;0;0;116.000000;
2342331;AUDIOPROTHESE, < 20 ANS OU CECITE, STARKEY, STARKEY H;22SEP2004:00:00:00;0;A;N;2;3;6;1;0;0;0;0;0;0;501.000000;
2342354;AUDIOPROTHESE, < 20 ANS OU CECITE, BELTONE, PHILIPS M 21 A;22SEP2004:00:00:00;0;A;N;2;3;6;1;0;0;0;0;0;0;131.000000;
2342555;AUDIOPROTHESE, < 20 ANS OU CECITE, PRODITION, OTICON PERSONIC 425;22SEP2004:00:00:00;0;A;N;2;3;6;1;0;0;0;0;0;0;396.000000;
2342638;AUDIOPROTHESE, < 20 ANS OU CECITE, INTRASON, INTRASON AGCI DP;22SEP2004:00:00:00;0;A;N;2;3;6;1;0;0;0;0;0;0;242.000000;
2342800;AUDIOPROTHESE, < 20 ANS OU CECITE, BIOTONE, REXTON SPECTRA PP +;22SEP2004:00:00:00;0;A;N;2;3;6;1;0;0;0;0;0;0;152.000000;
2343052;AUDIOPROTHESE, < 20 ANS OU CECITE, BIOTONE, REXTON HORIZON R 2 +;22SEP2004:00:00:00;0;A;N;2;3;6;1;0;0;0;0;0;0;145.000000;
2343543;AUDIOPROTHESE, < 20 ANS OU CECITE, AUDIOMEDI, HANSATON DQ/49 4C;22SEP2004:00:00:00;0;A;N;2;3;6;1;0;0;0;0;0;0;57.000000;
2343566;AUDIOPROTHESE, < 20 ANS OU CECITE, BELTONE, PHILIPS S 41 I;22SEP2004:00:00:00;0;A;N;2;3;6;1;0;0;0;0;0;0;111.000000;
2343840;AUDIOPROTHESE, < 20 ANS OU CECITE, PHONAK, PHONAK CLASSICA PPCLP;22SEP2004:00:00:00;0;A;N;2;3;6;1;0;0;0;0;0;0;314.000000;
2343856;AUDIOPROTHESE, ENTRETIEN ET REPARATIONS, MICROPHONE;;0;A;N;2;3;3;0;0;0;0;0;0;0;3.000000;
2344092;AUDIOPROTHESE, < 20 ANS OU CECITE, STARKEY, STARKEY NODIS;22SEP2004:00:00:00;0;A;N;2;3;6;1;0;0;0;0;0;0;504.000000;
2344100;AUDIOPROTHESE, ENTRETIEN ET REPARATIONS, ECOUTEUR;;0;A;N;2;3;3;0;0;0;0;0;0;0;2.000000;
2344123;AUDIOPROTHESE, < 20 ANS OU CECITE, PRODITION, OTICON SWIFT 90+;22SEP2004:00:00:00;0;A;N;2;3;6;1;0;0;0;0;0;0;387.000000;
2344146;AUDIOPROTHESE, < 20 ANS OU CECITE, ISO-SONIC, INTERTON INTEGRA KD VC;22SEP2004:00:00:00;0;A;N;2;3;6;1;0;0;0;0;0;0;259.000000;
2344324;AUDIOPROTHESE, < 20 ANS OU CECITE, BELTONE, PHILIPS P 47;22SEP2004:00:00:00;0;A;N;2;3;6;1;0;0;0;0;0;0;120.000000;
2344548;AUDIOPROTHESE, < 20 ANS OU CECITE, ACOUREX, WIDEX C 18 +;22SEP2004:00:00:00;0;A;N;2;3;6;1;0;0;0;0;0;0;7.000000;
2344689;AUDIOPROTHESE, < 20 ANS OU CECITE, BELTONE, BELTONE OPERA + KAMP;22SEP2004:00:00:00;0;A;N;2;3;6;1;0;0;0;0;0;0;81.000000;
2344867;AUDIOPROTHESE, < 20 ANS OU CECITE, BELTONE, PHILIPS M 61-O;22SEP2004:00:00:00;0;A;N;2;3;6;1;0;0;0;0;0;0;97.000000;
2344873;PROTHESE OSTEO-INTEGREE, COCHLEAR, BAHA 5 POWER, PROCESSEUR.;;0;A;O;2;3;5;0;0;0;0;0;0;0;14.000000;
2352482;AUDIOPROTHESE, < 20 ANS OU CECITE, INTRASON, INTRASON EAZY PRO;22SEP2004:00:00:00;0;A;N;2;3;6;1;0;0;0;0;0;0;246.000000;
2352766;AUDIOPROTHESE, < 20 ANS OU CECITE, STARKEY, STARKEY A 13 SEQUEL PRG;22SEP2004:00:00:00;0;A;N;2;3;6;1;0;0;0;0;0;0;507.000000;
2353033;AUDIOPROTHESE, < 20 ANS OU CECITE, STARKEY, STARKEY A 13 KAMP PRG;22SEP2004:00:00:00;0;A;N;2;3;6;1;0;0;0;0;0;0;486.000000;
2353429;AUDIOPROTHESE, < 20 ANS OU CECITE, NEWSON, NEWSON DYNAMIC T AGS;22SEP2004:00:00:00;0;A;N;2;3;6;1;0;0;0;0;0;0;295.000000;
2353524;AUDIOPROTHESE, < 20 ANS OU CECITE, GN RESOUND, VIENNATONE 147;22SEP2004:00:00:00;0;A;N;2;3;6;1;0;0;0;0;0;0;213.000000;
2354140;AUDIOPROTHESE, CT, < 20 ANS OU CECITE, ACOUREX, WIDEX L 32 E;22SEP2004:00:00:00;0;A;N;2;3;6;1;0;0;0;0;0;0;20.000000;
2354216;AUDIOPROTHESE, < 20 ANS OU CECITE, ACOUREX, WIDEX C 9;22SEP2004:00:00:00;0;A;N;2;3;6;1;0;0;0;0;0;0;11.000000;
2354587;AUDIOPROTHESE, < 20 ANS OU CECITE, BELTONE, PHILIPS P 21 P;22SEP2004:00:00:00;0;A;N;2;3;6;1;0;0;0;0;0;0;133.000000;
2354788;AUDIOPROTHESE, < 20 ANS OU CECITE, BELTONE, PHILIPS S 47 I;22SEP2004:00:00:00;0;A;N;2;3;6;1;0;0;0;0;0;0;119.000000;
2355084;AUDIOPROTHESE, APPAREIL DE CLASSE D, < 20 ANS;31DEC2018:00:00:00;0;A;O;2;3;2;0;0;0;0;0;0;0;4.000000;
2355316;AUDIOPROTHESE, < 20 ANS OU CECITE, ISO-SONIC, INTERTON MEGA POWER MP 97;22SEP2004:00:00:00;0;A;N;2;3;6;1;0;0;0;0;0;0;261.000000;
2355434;AUDIOPROTHESE, < 20 ANS OU CECITE, SIEMENS, SIEMENS 8 DI;22SEP2004:00:00:00;0;A;N;2;3;6;1;0;0;0;0;0;0;478.000000;
2355581;AUDIOPROTHESE, < 20 ANS OU CECITE, STARKEY, STARKEY MC II CP;22SEP2004:00:00:00;0;A;N;2;3;6;1;0;0;0;0;0;0;499.000000;
2355820;AUDIOPROTHESE, APPAREIL DE CLASSE C, < 20 ANS;31DEC2018:00:00:00;0;A;O;2;3;2;0;0;0;0;0;0;0;3.000000;
2355836;AUDIOPROTHESE, < 20 ANS OU CECITE, ACOUREX, WIDEX SENSO P 38;22SEP2004:00:00:00;0;A;N;2;3;6;1;0;0;0;0;0;0;32.000000;
2391387;AUDIOPROTHESE, < 20 ANS OU CECITE, INTRASON, INTRASON DEQ II PRO;22SEP2004:00:00:00;0;A;N;2;3;6;1;0;0;0;0;0;0;236.000000;
2391803;AUDIOPROTHESE, < 20 ANS OU CECITE, GN RESOUND, DANAVOX DANASOUND;22SEP2004:00:00:00;0;A;N;2;3;6;1;0;0;0;0;0;0;176.000000;
2391832;AUDIOPROTHESE, < 20 ANS OU CECITE, SARFFA, UNITRON UE 3 AGCN;22SEP2004:00:00:00;0;A;N;2;3;6;1;0;0;0;0;0;0;435.000000;
2391884;AUDIOPROTHESE, < 20 ANS OU CECITE, AUDIOMEDI, HANSATON JAZZ 925 2 C PROG;22SEP2004:00:00:00;0;A;N;2;3;6;1;0;0;0;0;0;0;63.000000;
2392079;AUDIOPROTHESE, LUNETTES AUDITIVES, < 20 ANS;31DEC2018:00:00:00;0;A;N;2;3;2;0;0;0;0;0;0;0;5.000000;
2392122;AUDIOPROTHESE, < 20 ANS OU CECITE, SARFFA, UNITRON IKON AOHP 4;22SEP2004:00:00:00;0;A;N;2;3;6;1;0;0;0;0;0;0;427.000000;
2392530;AIDE AUDITIVE, CLASSE II, DROITE, > 20 ANS;;0;A;N;2;3;7;0;0;0;0;0;0;0;3.000000;
2393268;AUDIOPROTHESE, < 20 ANS OU CECITE, STARKEY, STARKEY B 13 AGC;22SEP2004:00:00:00;0;A;N;2;3;6;1;0;0;0;0;0;0;484.000000;
