SIN_MLP_TAB;SIN_MLP_BTR;SIN_SYN_LOP;SIN_SYN_PAT;SIN_MLP_LIB;TEC_COL
020;A;C;G622;Polynévrites;0
020;A;C;L818;Mélanodermie FIN CODE 20/06/2004;0
020;A;C;L81X;Mélanodermie;0
020;A;C;L851;Dyskératoses palmo-plantaires;0
020;A;D;C223;Angiosarcome du foie;0
020;A;D;C44X;Epithélioma cutané primitif;0
020;A;D;D04X;Dyskératose lenticulaire en disque (maladie de Bowen);0
020;A;Z;R69X;Association de plusieurs syndromes du tableau;0
020;B;A;C34X;Cancer bronchique primitif;0
020;T;A;C34X;Cancer bronchique primitif;0
021;A;A;D594;Hémoglobinurie ou ictère avec hémolyse;0
021;A;A;D599;Ictère avec hémolyse FIN CODE 20/06/2004;0
021;A;A;N144;Néphrite azotémique FIN CODE 20/06/2004;0
021;A;A;N14X;Néphrite azotémique;0
021;A;A;R40X;Accidents aigus (coma);0
021;A;Z;R69X;Association de plusieurs syndromes du tableau;0
022;A;A;F028;Troubles psychiques aigus avec confusion mentale. délire onirique FIN CODE 20/06/2004;0
022;A;A;F06X;Troubles psychiques aigus ou chroniques avec états dépressifs et impulsions...;0
022;A;A;G622;Polynévrites et névrites;0
022;A;A;H46X;Névrite optique;0
022;A;A;R11X;Syndrome aigu neuro-digestif;0
022;A;Z;R69X;Association de plusieurs syndromes du tableau;0
023;A;A;H55X;Nystagmus;0
024;A;A;A418;Brucellose aiguë avec septicémie (fièvre ondulante sudoro-algique                                                                                                                        ,tableau ...;0
024;A;A;A419;Tableau pseudo-grippal  FIN CODE 01/01/2000;0
024;A;A;A420;Tableau pseudo-typhoïdique  FIN CODE 01/01/2000;0
024;A;A;D63X;Anémie. purpura. hémorragie. adénopathie;0
024;A;A;D642;Anémie. purpura. hémorragie. adénopathie FIN CODE 20/06/2004;0
024;A;A;G01X;Réaction neuro-méningée aiguë ou réaction méningée. méningite. arachnoïdite...;0
024;A;A;G050;Méningo-encéphalite. myélite FIN CODE 20/06/2004;0
024;A;A;G05X;Méningo-encéphalite. myélite;0
024;A;A;G548;Névrite radiculaire;0
024;A;A;I398;Endocardite FIN CODE 20/06/2004;0
024;A;A;I39X;Endocardite;0
024;A;A;I80X;Phlébite;0
024;A;A;J208;Bronchite. pneumopathie;0
024;A;A;J42X;Bronchite. pneumopathie;0
024;A;A;J91X;Pleurésie sérofibrineuse. pleurésie purulente;0
024;A;A;K716;Formes hépato-spléniques subaiguës FIN CODE 20/06/2004;0
024;A;A;K71X;Formes hépato-spléniques subaiguës;0
024;A;A;K770;Hépatite;0
024;A;A;M01X;Monoarthrite aiguë fébrile. Polyarthrite  ou arthrite séreuse. arthrite sup...;0
024;A;A;N160;Néphrite;0
024;A;A;N41X;Prostatite;0
024;A;A;N45X;Orchite. épididymite;0
024;A;A;N709;Salpingite;0
024;A;A;R21X;Manifestations cutanées d'allergie;0
024;A;A;R53X;Asthénie profonde. asthénie profonde associée à un syndrome dépressif;0
024;A;B;G01X;Réaction méningée. méningite. arachnoïdite FIN CODE 20/06/2004;0
024;A;B;M01X;Arthrite séreuse. arthrite suppurée. ostéo-arthrite. osteïte. spondylodisci. FIN CODE 20/06/2004;0
024;A;Z;R69X;Association de plusieurs syndromes du tableau;0
025;A;A;B441;Aspergillose intracavitaire confirmée par la sérologie;0
025;A;A;C34X;Cancer bronchopulmonaire primitif;0
025;A;A;I500;Insuffisance ventriculaire droite caractérisée;0
025;A;A;J628;Silicose aiguë ou chronique;0
025;A;A;J62X;Silicose. pneumoconiose du houilleur. schistose. talcose. kaolinose. graphi. FIN CODE 20/06/2004;0
025;A;A;J65X;Tuberculose ou autre myobactériose;0
025;A;A;J851;Suppuration broncho-pulmonaire subaiguë ou chronique;0
025;A;A;J93X;Pneumothorax spontané;0
025;A;A;J960;Insuffisance respiratoire aiguë nécessitant des soins intensifs en milieu s.. FIN CODE 20/06/2004;0
025;A;A;J984;Nécrose cavitaire aseptique;0
025;A;A;J991;Ce code devient 025ABM340 FIN CODE 20/06/2004;0
025;A;A;M051;Lésions pleuro-pneumoconiotiques à type rhumatoïde (syndrome de Caplan Coli..;0
025;A;A;M340;Sclérodermie systémique progressive;0
025;A;B;J620;Kaolinose et talcose;0
025;A;B;J633;Graphitose;0
025;A;B;M340;Sclérodermie systémique progressive FIN CODE 20/06/2004;0
025;A;C;B441;Aspergillose intracavitaire confirmée par la sérologie;0
025;A;C;I500;Insuffisance ventriculaire droite caractérisée;0
025;A;C;J628;Pneumoconiose due à l'inhalation de poussières de houille;0
025;A;C;J65X;Tuberculose ou autre myobactériose;0
025;A;C;J841;Fibrose interstitielle pulmonaire diffuse non régressive d'apparence primit. FIN CODE 20/06/2004;0
025;A;C;J851;Suppuration broncho-pulmonaire subaiguë ou chronique;0
025;A;C;J93X;Pneumothorax spontané;0
025;A;C;J961;Insuffisance respiratoire chronique caractérisée et c½ur pulmonaire chroniq. FIN CODE 20/06/2004;0
025;A;C;J984;Nécrose cavitaire aseptique;0
025;A;C;M051;Lésions pleuro-pneumoconiotiques à type rhumatoïde (syndrome de Caplan Coli...;0
025;A;D;I500;Insuffisance ventriculaire droite caractérisée;0
025;A;D;J65X;Tuberculose ou autre myobactériose;0
025;A;D;J841;Fibrose interstitielle pulmonaire diffuse non régressive d'apparence primit...;0
025;A;D;J93X;Pneumothorax spontané;0
025;A;D;J961;Insuffisance respiratoire chronique caractérisée;0
025;A;D;M051;Lésions pleuro-pneumoconiotiques à type rhumatoïde (syndrome de Caplan Coli. FIN CODE 20/06/2004;0
025;A;Z;R69X;Association de plusieurs syndromes du tableau;0
025;B;A;M340;Ce code devient 025ABM340 FIN CODE 20/06/2004;0
026;A;A;F322;Dépression mélancolique FIN CODE 20/06/2004;0
026;A;A;F32X;Dépression mélancolique;0
026;A;A;F408;Anxiété pantophobique;0
026;A;A;G252;Tremblements intentionnels;0
026;A;A;G253;Myoclonies;0
026;A;A;G409;Crises épileptiques;0
026;A;A;H532;Diplopie;0
026;A;A;H538;Amblyopie;0
026;A;A;H540;Amaurose FIN CODE 20/06/2004;0
026;A;A;H54X;Amaurose;0
026;A;A;H82X;Vertiges et troubles labyrinthiques;0
026;A;A;H832;Vertiges et troubles labyrinthiques FIN CODE 20/06/2004;0
026;A;A;H932;Hyperacousie;0
026;A;A;R270;Ataxies FIN CODE 20/06/2004;0
026;A;A;R27X;Ataxies;0
026;A;A;R40X;Coma;0
026;A;A;R410;Accès confusionnels;0
026;A;A;R47X;Aphasie et dysarthrie;0
026;A;A;R568;Crises épileptiformes;0
026;A;Z;R69X;Association de plusieurs syndromes du tableau;0
027;A;A;H538;Amblyopie;0
027;A;A;H82X;Vertiges;0
027;A;A;H832;Vertiges FIN CODE 20/06/2004;0
027;A;A;R270;Ataxie FIN CODE 20/06/2004;0
027;A;A;R27X;Ataxie;0
027;A;A;R40X;Accidents aigus (coma. délire);0
027;A;A;R413;Amnésie;0
027;A;Z;R69X;Association de plusieurs syndromes du tableau;0
028;A;A;D638;Anémie FIN CODE 20/06/2004;0
028;A;A;D63X;Anémie;0
029;A;A;H678;Otite moyenne FIN CODE 20/06/2004;0
029;A;A;H82X;Syndrome vertigineux;0
029;A;A;H832;Syndrome vertigineux FIN CODE 20/06/2004;0
029;A;A;H918;Hypoacousie;0
029;A;A;H919;Hypoacousie FIN CODE 20/06/2004;0
029;A;A;M903;Ostéonécrose;0
029;A;A;T700;Otite moyenne;0
029;A;Z;R69X;Association de plusieurs syndromes du tableau;0
030;A;A;0000;Non précisé;0
030;A;A;I500;Asbestose compliquée d'insuffisance ventriculaire droite;0
030;A;A;J61X;Asbestose avec fibrose pulmonaire;0
030;A;A;J960;Asbestose compliquée d'insuffisance respiratoire aiguë;0
030;A;B;0000;Non précisé;0
030;A;B;I318;Plaques péricardiques;0
030;A;B;J90X;Pleurésie exsudative FIN CODE 20/06/2004;0
030;A;B;J91X;Pleurésie exsudative;0
030;A;B;J920;Plaques pleurales;0
030;A;B;J929;Epaississement de la plèvre viscérale FIN CODE 20/06/2004;0
030;A;B;J948;Epaississement de la plèvre viscérale;0
030;A;C;C34X;Dégénérescence maligne bronchopulmonaire compliquant des lésions bénignes;0
030;A;D;C450;Mésothéliome malin primitif de la plèvre;0
030;A;D;C451;Mésothéliome malin primitif du péritoine;0
030;A;D;C452;Mésothéliome malin primitif du péricarde;0
030;A;E;C384;Autres tumeurs pleurales primitives;0
030;A;Z;R69X;Association de plusieurs syndromes du tableau;0
030;B;A;C34X;Cancer broncho-pulmonaire primitif;0
031;A;A;L23X;Lésions eczématiformes;0
032;A;A;H10X;Conjonctivites;0
032;A;A;J680;Bronchopneumopathies aiguës;0
032;A;A;J681;Oedème aigu du poumon;0
032;A;A;J682;Manifestations irritatives des voies aériennes supérieures;0
032;A;A;L24X;Dermites;0
032;A;A;L25X;Dermites FIN CODE 20/06/2004;0
032;A;A;T30X;Brûlures chimiques;0
032;A;B;M851;Manifestations chroniques. syndrome ostéoligamentaire;0
032;A;Z;R69X;Association de plusieurs syndromes du tableau;0
033;A;A;H10X;Conjonctivites;0
033;A;A;L24X;Dermite aiguë irritative;0
033;A;B;J632;Fibrose pulmonaire diffuse;0
033;A;B;J680;Bronchopneumopathie;0
033;A;Z;R69X;Association de plusieurs syndromes du tableau;0
034;A;A;R11X;Troubles digestifs;0
034;A;B;J683;Troubles respiratoires;0
034;A;C;R41X;Troubles nerveux;0
034;A;D;R53X;Troubles généraux et vasculaires;0
034;A;E;R79X;Syndrome biologique;0
034;A;Z;R69X;Association de plusieurs syndromes du tableau;0
036;A;A;0000;Non précisé;0
036;A;A;J969;Insuffisance respiratoire FIN CODE 20/06/2004;0
036;A;A;L23X;Lésions eczématiformes;0
036;A;A;L24X;Dermite irritative;0
036;A;A;L303;Papulo-pustules multiples;0
036;A;A;L988;Granulome cutané avec réaction gigantofolliculaire FIN CODE 20/06/2004;0
036;A;B;L988;Granulome cutané avec réaction gigantofolliculaire;0
036;A;C;J969;Insuffisance respiratoire liée à un granulome pulmonaire;0
