GHS_GRP_TYP;GHS_NUM;GHS_NUM_SEC;GHS_LIB;GHS_CRE_DTE;GHS_FER_DTE;GHS_NAT_ASS;GHS_AGE_MIN;GHS_AGE_MAX;GHS_SEX;GHS_CMD;GHS_ARR_DTE;GHS_PJO_DTE;GHS_MAJ_DTE;GHS_DDP_MCO;GHS_EO1_DTE;GHS_DUR_SJ1;GHS_SEU_HT1;GHS_SEU_BA1;GHS_PRU_OC1;GHS_EXH_OC1;GHS_PRU_EX1;GHS_COE_OC1;GHS_COF_OC1;GHS_F01_OC1;GHS_F02_OC1;GHS_F03_OC1;GHS_F04_OC1;GHS_F05_OC1;GHS_F06_OC1;GHS_F07_OC1;GHS_F08_OC1;GHS_F09_OC1;GHS_F10_OC1;GHS_MAJ_OC1;GHS_EO2_DTE;GHS_DUR_SJ2;GHS_SEU_HT2;GHS_SEU_BA2;GHS_PRU_OC2;GHS_EXH_OC2;GHS_PRU_EX2;GHS_COE_OC2;GHS_COF_OC2;GHS_F01_OC2;GHS_F02_OC2;GHS_F03_OC2;GHS_F04_OC2;GHS_F05_OC2;GHS_F06_OC2;GHS_F07_OC2;GHS_F08_OC2;GHS_F09_OC2;GHS_F10_OC2;GHS_MAJ_OC2;GHS_EO3_DTE;GHS_DUR_SJ3;GHS_SEU_HT3;GHS_SEU_BA3;GHS_PRU_OC3;GHS_EXH_OC3;GHS_PRU_EX3;GHS_COE_OC3;GHS_COF_OC3;GHS_F01_OC3;GHS_F02_OC3;GHS_F03_OC3;GHS_F04_OC3;GHS_F05_OC3;GHS_F06_OC3;GHS_F07_OC3;GHS_F08_OC3;GHS_F09_OC3;GHS_F10_OC3;GHS_MAJ_OC3;TEC_COL
S;308;1;Hydrocéphalies, niveau 4;01MAR2009:00:00:00;01MAR2009:00:00:00;ASATMA;0;0;0;1;28FEB2018:00:00:00;01MAR2018:00:00:00;01MAR2018:00:00:00;M;01MAR2018:00:00:00;22;52;9;811383.00;1;26573.00;1;0;R;F;C;D;N;P;E;K;V;W;01MAR2018:00:00:00;01MAR2017:00:00:00;22;52;9;814564.00;1;26677.00;1;0;R;F;C;D;N;P;E;K;Z;Z;01MAR2017:00:00:00;01MAR2016:00:00:00;20;52;9;848336.00;1;30566.00;1;0;R;F;C;D;N;P;E;Z;Z;Z;01MAR2016:00:00:00;0
S;308;2;Hydrocéphalies, niveau 4;01MAR2009:00:00:00;01MAR2009:00:00:00;ASATMA;0;0;0;1;28FEB2018:00:00:00;01MAR2018:00:00:00;01MAR2018:00:00:00;M;01MAR2018:00:00:00;15;0;0;358774.00;0;0.00;1;0;R;F;C;D;N;P;E;K;V;W;01MAR2018:00:00:00;01MAR2017:00:00:00;15;0;0;345537.00;0;0.00;1;0;R;F;C;D;N;P;E;K;Z;Z;01MAR2017:00:00:00;01MAR2016:00:00:00;40;0;0;347754.00;0;0.00;1;0;R;F;C;D;N;P;E;Z;Z;Z;01MAR2016:00:00:00;0
S;309;1;Hydrocéphalies, très courte durée;01MAR2009:00:00:00;01MAR2009:00:00:00;ASATMA;0;0;0;1;28FEB2018:00:00:00;01MAR2018:00:00:00;01MAR2018:00:00:00;M;01MAR2018:00:00:00;0;0;0;50435.00;0;0.00;1;0;R;F;C;D;N;P;E;K;V;W;01MAR2018:00:00:00;01MAR2017:00:00:00;0;0;0;50633.00;0;0.00;1;0;R;F;C;D;N;P;E;K;Z;Z;01MAR2017:00:00:00;01MAR2016:00:00:00;0;0;0;51157.00;0;0.00;1;0;R;F;C;D;N;P;E;Z;Z;Z;01MAR2016:00:00:00;0
S;309;2;Hydrocéphalies, très courte durée;01MAR2009:00:00:00;01MAR2009:00:00:00;ASATMA;0;0;0;1;28FEB2018:00:00:00;01MAR2018:00:00:00;01MAR2018:00:00:00;M;01MAR2018:00:00:00;0;0;0;29382.00;0;0.00;1;0;R;F;C;D;N;P;E;K;V;W;01MAR2018:00:00:00;01MAR2017:00:00:00;0;0;0;28298.00;0;0.00;1;0;R;F;C;D;N;P;E;K;Z;Z;01MAR2017:00:00:00;01MAR2016:00:00:00;0;0;0;28480.00;0;0.00;1;0;R;F;C;D;N;P;E;Z;Z;Z;01MAR2016:00:00:00;0
S;310;1;Anévrysmes cérébraux, niveau 1;01MAR2009:00:00:00;01MAR2009:00:00:00;ASATMA;0;0;0;1;28FEB2018:00:00:00;01MAR2018:00:00:00;01MAR2018:00:00:00;M;01MAR2018:00:00:00;1;3;0;203857.00;1;30447.00;1;0;R;F;C;D;N;P;E;K;V;W;01MAR2018:00:00:00;01MAR2017:00:00:00;1;3;0;204709.00;1;30574.00;1;0;R;F;C;D;N;P;E;K;Z;Z;01MAR2017:00:00:00;01MAR2016:00:00:00;2;4;0;207835.00;1;25242.00;1;0;R;F;C;D;N;P;E;Z;Z;Z;01MAR2016:00:00:00;0
S;310;2;Anévrysmes cérébraux, niveau 1;01MAR2009:00:00:00;01MAR2009:00:00:00;ASATMA;0;0;0;1;28FEB2018:00:00:00;01MAR2018:00:00:00;01MAR2018:00:00:00;M;01MAR2018:00:00:00;1;3;0;77340.00;1;35369.00;1;0;R;F;C;D;N;P;E;K;V;W;01MAR2018:00:00:00;01MAR2017:00:00:00;1;3;0;74723.00;1;34172.00;1;0;R;F;C;D;N;P;E;K;Z;Z;01MAR2017:00:00:00;01MAR2016:00:00:00;2;4;0;76040.00;1;24158.00;1;0;R;F;C;D;N;P;E;Z;Z;Z;01MAR2016:00:00:00;0
S;311;1;Anévrysmes cérébraux, niveau 2;01MAR2009:00:00:00;01MAR2009:00:00:00;ASATMA;0;0;0;1;28FEB2018:00:00:00;01MAR2018:00:00:00;01MAR2018:00:00:00;M;01MAR2018:00:00:00;6;15;0;569222.00;1;63128.00;1;0;R;F;C;D;N;P;E;K;V;W;01MAR2018:00:00:00;01MAR2017:00:00:00;6;15;0;571602.00;1;63392.00;1;0;R;F;C;D;N;P;E;K;Z;Z;01MAR2017:00:00:00;01MAR2016:00:00:00;7;19;0;586473.00;1;55869.00;1;0;R;F;C;D;N;P;E;Z;Z;Z;01MAR2016:00:00:00;0
S;311;2;Anévrysmes cérébraux, niveau 2;01MAR2009:00:00:00;01MAR2009:00:00:00;ASATMA;0;0;0;1;28FEB2018:00:00:00;01MAR2018:00:00:00;01MAR2018:00:00:00;M;01MAR2018:00:00:00;4;0;0;221240.00;0;0.00;1;0;R;F;C;D;N;P;E;K;V;W;01MAR2018:00:00:00;01MAR2017:00:00:00;4;0;0;213755.00;0;0.00;1;0;R;F;C;D;N;P;E;K;Z;Z;01MAR2017:00:00:00;01MAR2016:00:00:00;5;0;0;215127.00;0;0.00;1;0;R;F;C;D;N;P;E;Z;Z;Z;01MAR2016:00:00:00;0
S;312;1;Anévrysmes cérébraux, niveau 3;01MAR2009:00:00:00;01MAR2009:00:00:00;ASATMA;0;0;0;1;28FEB2018:00:00:00;01MAR2018:00:00:00;01MAR2018:00:00:00;M;01MAR2018:00:00:00;12;0;0;853502.00;0;0.00;1;0;R;F;C;D;N;P;E;K;V;W;01MAR2018:00:00:00;01MAR2017:00:00:00;12;0;0;857071.00;0;0.00;1;0;R;F;C;D;N;P;E;K;Z;Z;01MAR2017:00:00:00;01MAR2016:00:00:00;11;0;0;863811.00;0;0.00;1;0;R;F;C;D;N;P;E;Z;Z;Z;01MAR2016:00:00:00;0
S;312;2;Anévrysmes cérébraux, niveau 3;01MAR2009:00:00:00;01MAR2009:00:00:00;ASATMA;0;0;0;1;28FEB2018:00:00:00;01MAR2018:00:00:00;01MAR2018:00:00:00;M;01MAR2018:00:00:00;13;0;0;324484.00;0;0.00;1;0;R;F;C;D;N;P;E;K;V;W;01MAR2018:00:00:00;01MAR2017:00:00:00;13;0;0;313506.00;0;0.00;1;0;R;F;C;D;N;P;E;K;Z;Z;01MAR2017:00:00:00;01MAR2016:00:00:00;6;0;0;315518.00;0;0.00;1;0;R;F;C;D;N;P;E;Z;Z;Z;01MAR2016:00:00:00;0
