BEN_NIR_COD;BEN_NIR_LIB;TOP_NIR_SNI;TEC_COL
00;NIR NORMAL (ni fictif ni provisoire);0;0
01;NIR FICTIF IVG;1;0
03;NIR D UN MIGRANT PROVISOIRE PASSAGE (commence par 5 ou 6);0;0
04;NIR D UN ASSURE PROVISOIRE (commence par 7 ou 8);0;0
05;NIR FICTIF IST;1;0
06;NIR FICTIF IVG DES MINEURES SANS CONSENTEMENT PARENTAL;1;0
08;NIR FICTIF AUTRE;1;0
09;NIR FICTIF DES AIDES A LA TELETRANSMISSION;1;0
11;NIR FICTIF CONTRACEPTION DES MINEURES;1;0
12;ALD MINEUR;1;0
99;valeur inconnue;0;1
NN;sans objet;0;2
13;NIR MATERNITE PS;1;0
14;NIR PATERNITE PS;1;0
15;NIR ADOPTION PS;1;0
