TITRE,sc1,sc2,CODE_LPP,AGE,SEXE,BEN_REG,PSP_SPE,QTE,REM,BSE,year
5,1_5,1_1_4,1103156,0,1,76,0,7487973,82311033.25,84666239.87,7279
1,1_4,1_1_1,1106485,0,9,53,0,5965536,2611798.13,56116553.47,7493
2,1_2,1_1_6,1103015,60,2,32,1,5654213,21077063.78,45487539.79,898
9,1_4,1_1_4,1108917,0,1,44,4,3895189,61842176.32,35217491.02,5143
3,1_1,1_1_5,1102375,60,9,28,6,8406452,9828446.44,58585137.83,7480
1,1_5,1_2_2,1101950,0,1,24,5,511337,62013130.37,53574973.89,2065
4,1_4,1_2_1,1100229,20,1,32,6,5790629,5389021.91,82745626.85,4713
2,2_6,1_1_2,1101950,40,0,32,6,6099578,96065404.82,26454219.61,3316
4,2_4,1_1_6,1106485,40,0,11,5,8471406,98042936.44,47837905.66,9524
4,2_3,1_2_2,1100229,40,0,24,2,5386789,52112764.51,34778501.94,5133
