ATC1,ATC2,ATC3,ATC4,ATC5,CIP13,TOP_GEN,GEN_NUM,AGE,sexe,BEN_REG,PSP_SPE,BOITES,REM,BSE,year
G,A05,A02X,A02AB,A01AD,3400921600506,G,1,60,2,75,5,9520072,983.21,87.26,3875
A,A04,A01A,A02AF,A01AB11,3400921604238,0,1,20,1,32,2,7993885,333.08,230.25,6688
B,A02,A03B,A02AA,A01AD,3400921601916,S,2,20,9,32,7,1439677,673.03,410.65,7193
H,A04,A02X,A02AH,A01AD11,3400921604696,G,5,0,2,44,1,3143717,196.19,310.47,3982
P,A01,A03A,A01AD,A01AD11,3400921600506,S,7,20,9,28,0,1666395,354.09,565.39,3840
A,A05,A03F,A01AC,A01AA51,3400921600506,S,6,20,0,5,8,1024673,812.55,544.52,5350
D,A04,A03E,A01AA,A01A,3400921604818,9,7,0,1,53,7,8751651,247.6,806.29,8820
B,A12,A02A,A01AC,A01AD,3400921604818,G,7,20,9,76,1,5241661,458.15,917.24,3324
C,A10,A03B,A02AF,A01A,3400921604177,S,6,60,1,75,9,6592973,876.42,521.57,7808
L,A09,A03F,A01AA,A01AD,3400921600506,S,3,0,2,76,6,5251678,391.27,424.26,2307
