ACT_COD,NBR_ACT_PAT_AUT_ETB,NBR_ACT_CON_EXT,ETA_NUM,NBR_ACT_PAT_ETB,FIC_TYP,ANN_MOI,NBR_ACT_PAT_HOS
AAR,1804481119,5403269957,E,3536609971,iJ,1939-02,554800608
AAD,8406335189,2938690932,ylhHSI,1598000151,T,1932-02,6914631646
A   F,6360305272,9470119627,XgaGkSSOt,5993925745,jkZ,2020-07,92067910
AAD,4540800886,8545637692,VmipqXm,9580378482,oPn,2015-12,4948664390
A,939244759,1692484128,ylhHSI,1716241992,enb,1988-11,7751052546
AAR,9950968072,9575408226,sOgu,5817266674,F,1973-09,1886800846
AAD,8270692236,9835866738,XgaGkSSOt,7570356545,i,1971-02,380587819
ADE,3495483660,8852696791,kGhN,4516653616,,1927-05,5321653354
ADA,7814023654,3908203128,cwNVYVR,7445014236,vS,2000-02,6513797440
ACO,1033884782,645786370,ylhHSI,9827193582,,2016-08,8787378683
