MNT_PHN_ETB_EXDG,MNT_PHN_LAB_PRI,ETA_NUM,MNT_LC_ETB_EXDG,MNT_LC_LAB_PRI,MNT_RIHN_ETB_EXDG,MNT_BHN_LAB_PRI,MNT_RIHN_LAB_PRI,FIC_TYP,MNT_BHN_ETB_EXDG,ANN_MOI
8348421486.66,9890115134.76,E,7838323508.06,1134884718.94,174902709.31,3009644558.56,4946016455.38,G,8231103407.1,2010-02
1047961043.7,5495447268.45,ylhHSI,6348337060.53,9744830944.36,8915732671.8,2470618319.62,2280831044.49,p,261179815.7,1972-12
7446404816.8,2814473019.55,XgaGkSSOt,2490430915.16,7287346335.01,2848611674.74,9263351350.59,2554739237.57,J,2107706399.31,1959-03
3605008362.56,772895660.79,VmipqXm,7580758646.5,3514678058.93,2989763774.59,8916034382.78,3963299097.23,zJ,6184217693.5,1945-10
3593108378.08,4444694959.72,ylhHSI,3130769356.32,7076051382.59,7920342606.55,6832767599.75,3773150976.91,LQ,982844653.37,1976-03
6092383806.18,4728079697.55,sOgu,9372373574.88,7996046016.6,3244705974.78,5668846595.0,9965742301.55,zSr,6201313098.77,1969-09
3937795510.88,485220009.06,XgaGkSSOt,428654483.52,6455618545.08,8647103866.9,5469658802.43,4081972003.33,,538902195.98,2007-08
4090726098.61,1633244482.08,kGhN,4408672034.3,4145996071.88,4475126322.14,2104238359.87,7718939948.4,Ec,9606540578.04,1934-05
5099024095.9,1159507114.98,cwNVYVR,9127222899.35,7060310112.73,5482299063.5,7697544681.85,7605366880.09,Nt,9804293742.15,1962-03
7101479933.27,6273916827.04,ylhHSI,4550039189.27,2466493817.75,3571719948.3,8962301009.57,3100093486.85,YYW,5211276502.71,1945-03
