ETA_NUM,SOC_RAI,REG_ETA,ANN_TRT,STA_ETA,VAL_ETA,ETB_EXE_FIN
,SXskobSzHagtlIOLGhySoXSKhy,EhvAeahPbftsZtVqF,z,eB,jFJZgnJiQWbokYEtjBITeunGFGiBGRePTmW,w
WSDj,RXVdpqcR,AQWHIuYfyqvXgUSuVwbO,,qG,xYTuEEaouDOXBhYMLIBjkmvPAxZZLKjzRrUoQjaSXhkqBBoKO,JuGWZh
KMFbBGM,aIkYazwoELTcNovDJrdPRjshMWZKIMhVwVxom,GXtLJksONHIJfayQlbyDNjdu,HOj,YNc,mrfhifpuXfQgnjeKWLPOmhBGSzoBXVDONuudegiKiqacLyi,
,stFz,zNYfeMeSinY,,,egtedyPCkgXVgbTdRocoFjh,KzMbGoxs
h,iiuq,PDQucKoSozIoAbPaOdeLnTHCxLRKZAuoL,Y,,REYtBlVBMeRpKq,PwrXz
gjikFG,SxGJpKASVXwPCriFIfoGeirrc,AeiXLaQLVuNVAM,dOiJb,EY,EuOgadjYpvIQSpcPUkyGXwuRPrsZAIseMalIlAvtPBelUA,NIePqXnK
ddelLd,aIatSvjSVn,AcJvCZvyXVNOKrboxgEGAvFrzIKpdIhqXVsianq,xEEDjT,BK,gAYVnuHTcDjDgeSFVFEEGjaNYghEWur,WFXSSyr
DRPPdYgPN,OcuGRSrsIkPLYtNeNnubdzIiO,vU,TrXGC,H,pnkJvLZRBHkcUXCkbedBNhamAxaVhsEAULnPd,t
UxrdL,DYXPEhFrZsqmCyCLlExlFwoSSsKcEt,IsLlYkgZzEMWkrlBXsNmsgRWIyAOtvclgxVH,M,pC,RQDVyzcrVTQPQZXDPVfqsoxvOns,d
UXFx,dEHQFZhbveQIydowtdXdShkZqkbCTvvaPwoKWJJed,tAm,ytDzl,TS,ZtfQozXdjgU,dQuBS
